,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
81,MSI GE시리즈 레이더 GE76 12UHS-i9 4K 디럭스 에디션,"5,099,000",43.9cm(17.3인치),코어i9-12세대,미포함(프리도스),16:9,○,DDR5,64GB,2TB,M.2(NVMe),RTX3080 Ti,○,,99.9Wh,330W,25.9mm,2.9kg,총5개,○,
82,DELL 인스피론 15 7510 WH04KR 32GB램,"1,870,000",39.6cm(15.6인치),코어i7-11세대,윈도우10,16:9,○,DDR4,32GB,512GB,M.2(NVMe),RTX3050 Ti,,○,86Wh,130W,18.9mm,1.95kg,총3개,,○
83,LG전자 2021 울트라PC 15UD50P-KX50K,"846,540",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),MX450,○,○,52Wh,65W,19.9mm,1.85kg,총3개,○,
84,APPLE 2020 맥북에어 MGN73KH/A,"1,424,980",33.78cm(13.3인치),실리콘 M1,macOS Big Sur,16:10,,,8GB,512GB,SSD,M1 8 core,,○,49.9Wh,30W,16.1mm,1.29kg,총2개,○,
85,삼성전자 갤럭시북2 프로 NT950XED-KC51S,"1,607,390",39.6cm(15.6인치),코어i5-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,68Wh,65W,11.7mm,1.11kg,총3개,○,
86,LG전자 2022 그램17 17ZD95P-GX7BK,"1,515,890",43.1cm(17인치),코어i7-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
87,MSI GE시리즈 레이더 GE76 12UGS-i9 디럭스 에디션,"3,180,000",43.9cm(17.3인치),코어i9-12세대,미포함(프리도스),16:9,○,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,○,,99.9Wh,280W,25.9mm,2.9kg,총5개,○,
88,주연테크 리오나인 젠 L8CS37,"1,449,000",43.94cm(17.3인치),라이젠7-4세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3070,,○,48.96Wh,230W,32.4mm,2.5kg,총4개,○,
89,MSI 모던시리즈 모던15 A11M-i7 카본 그레이 16GB램,"759,040",39.62cm(15.6인치),코어i7-11세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),Iris Xe,○,○,52Wh,65W,16.9mm,1.6kg,총4개,○,
90,에이서 스위프트 3 SF314-43 R5 씬스틸러2,"678,180",35.56cm(14인치),라이젠5-4세대,리눅스,16:9,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),Radeon Graphics,,○,48Wh,65W,15.95mm,1.2kg,총3개,○,
91,삼성전자 갤럭시북2 프로 NT950XEW-A51A WIN11,"1,443,490",39.6cm(15.6인치),코어i5-12세대,윈도우11(설치),16:9,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,68Wh,65W,11.7mm,1.11kg,총3개,○,
92,LG전자 2021 그램17 17ZD90P-GX7TK WIN10,"1,518,990",43.1cm(17인치),코어i7-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.8mm,1.35kg,총4개,○,
93,MSI GE시리즈 레이더 GE76 12UGS-i9 디럭스 에디션 W11,"3,280,000",43.9cm(17.3인치),코어i9-12세대,윈도우11홈,16:9,○,DDR5,16GB,1TB,M.2(NVMe),RTX3070 Ti,○,,99.9Wh,280W,25.9mm,2.9kg,총5개,○,
94,LG전자 2022 그램16 16ZD95P-GX56K WIN10,"1,402,780",40.6cm(16인치),코어i5-11세대,윈도우10,16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
95,삼성전자 갤럭시북2 프로 NT950XEE-XC71G,"1,978,990",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
96,ASUS 젠북 UX325EA-KG354,"1,049,000",33.78cm(13.3인치),코어i7-11세대,미포함(프리도스),16:9,,LPDDR4x(온보드),16GB,512GB,M.2(NVMe),Iris Xe,,○,67Wh,65W,13.9mm,1.14kg,총3개,○,
97,ASUS TUF Gaming F17 FX707ZC-HX035 WIN11 16GB램,"1,451,050",43.94cm(17.3인치),코어i7-12세대,윈도우11(설치),16:9,,DDR5,16GB,512GB,M.2(NVMe),RTX3050,,○,56Wh,200W,25.4mm,2.6kg,총4개,○,
98,삼성전자 노트북 플러스2 NT550XDA-K24A,"568,990",39.6cm(15.6인치),펜티엄 골드,윈도우10 프로,16:9,○,DDR4,4GB,128GB,M.2(NVMe),UHD Graphics,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
99,ASUS TUF Gaming F15 FX506LH-HN004,"849,000",39.62cm(15.6인치),코어i5-10세대,미포함(프리도스),16:9,,DDR4,8GB,512GB,M.2(NVMe),GTX1650,,○,48Wh,150W,24.9mm,2.3kg,총4개,○,
